Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,19,symmetric,0.9099999999999999,0.2161552868550142
75% Corpus,19,symmetric,symmetric,0.2105086607024387
75% Corpus,19,asymmetric,0.01,0.2102321320597207
75% Corpus,19,asymmetric,0.31,0.2103939304943066
75% Corpus,19,asymmetric,0.61,0.222774834201247
75% Corpus,19,asymmetric,0.9099999999999999,0.21691793328827236
75% Corpus,19,asymmetric,symmetric,0.2105455495667679
100% Corpus,10,0.01,0.01,0.21578437243079587
100% Corpus,10,0.01,0.31,0.2735849519797625
100% Corpus,10,0.01,0.61,0.2219681421365672
100% Corpus,10,0.01,0.9099999999999999,0.21113957647633042
100% Corpus,10,0.01,symmetric,0.22236041954274
100% Corpus,10,0.31,0.01,0.21599288702492375
100% Corpus,10,0.31,0.31,0.2586096140558588
100% Corpus,10,0.31,0.61,0.2221766567306951
100% Corpus,10,0.31,0.9099999999999999,0.2113480910704583
100% Corpus,10,0.31,symmetric,0.22219899216536532
100% Corpus,10,0.61,0.01,0.21515458756977662
100% Corpus,10,0.61,0.31,0.24721714379657483
100% Corpus,10,0.61,0.61,0.22185166993936786
100% Corpus,10,0.61,0.9099999999999999,0.22636015677490814
100% Corpus,10,0.61,symmetric,0.22219899216536532
100% Corpus,10,0.9099999999999999,0.01,0.21192403537482454
100% Corpus,10,0.9099999999999999,0.31,0.23389701285279477
100% Corpus,10,0.9099999999999999,0.61,0.21521661680150084
100% Corpus,10,0.9099999999999999,0.9099999999999999,0.22316613973273874
100% Corpus,10,0.9099999999999999,symmetric,0.22351079938548302
100% Corpus,10,symmetric,0.01,0.21599288702492375
100% Corpus,10,symmetric,0.31,0.26052903937409716
100% Corpus,10,symmetric,0.61,0.2221766567306951
100% Corpus,10,symmetric,0.9099999999999999,0.2113480910704583
100% Corpus,10,symmetric,symmetric,0.22256893413686787
100% Corpus,10,asymmetric,0.01,0.21578437243079587
100% Corpus,10,asymmetric,0.31,0.2642732099670017
100% Corpus,10,asymmetric,0.61,0.2219681421365672
100% Corpus,10,asymmetric,0.9099999999999999,0.21113957647633042
100% Corpus,10,asymmetric,symmetric,0.22236041954274
100% Corpus,11,0.01,0.01,0.21012264378300632
100% Corpus,11,0.01,0.31,0.25264988589851856
100% Corpus,11,0.01,0.61,0.22093577925333607
